"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2010","2010",132062.82,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2011","2011",144154.61,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2012","2012",137361.09,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2013","2013",153950.74,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2014","2014",157563.81,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2015","2015",127884.38,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2016","2016",128568.52,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2017","2017",132151.72,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2018","2018",133599.76,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2019","2019",129582.57,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2020","2020",133325.17,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2021","2021",138560.29,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2010","2010",30845.86,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2011","2011",38091.56,,
