"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","BEL","Belgium","2010","2010",2.99,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","BEL","Belgium","2011","2011",3.04,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","BEL","Belgium","2012","2012",3.07,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","BEL","Belgium","2013","2013",3.29,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","BEL","Belgium","2014","2014",3.3,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","BEL","Belgium","2015","2015",3.12,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","BEL","Belgium","2016","2016",3.06,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","BEL","Belgium","2017","2017",2.99,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","BEL","Belgium","2018","2018",2.81,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","BEL","Belgium","2019","2019",2.78,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","BEL","Belgium","2020","2020",2.93,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","BEL","Belgium","2021","2021",2.7,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","CZE","Czechia","2010","2010",1.55,,
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","CZE","Czechia","2011","2011",1.74,,
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","CZE","Czechia","2012","2012",1.73,,
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","CZE","Czechia","2013","2013",1.69,,
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","CZE","Czechia","2014","2014",1.71,"B","Break"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","CZE","Czechia","2015","2015",1.73,,
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","CZE","Czechia","2016","2016",1.75,"B","Break"
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","CZE","Czechia","2017","2017",1.76,,
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","CZE","Czechia","2018","2018",1.81,,
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","CZE","Czechia","2019","2019",1.8,,
"RVNURMED","Remuneration of specialists","YSALGDMT","Salaried, income, /capita GDP","CZE","Czechia","2020","2020",2.04,,
